,precision,recall,f1-score,support
0,1.0,1.0,1.0,17.0
1,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
2,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.9351851851851851,0.9351851851851851,0.9351851851851851,38.0
weighted avg,0.9473684210526315,0.9473684210526315,0.9473684210526315,38.0
